date,category,subcategory,value
2024-01-01,energy,electricity,245.8
2024-01-01,energy,gas,182.3
2024-01-01,energy,renewable,78.5
2024-01-01,transportation,fleet,156.7
2024-01-01,transportation,business_travel,89.4
2024-01-01,transportation,logistics,234.6
2024-01-01,waste,general,67.8
2024-01-01,waste,hazardous,23.4
2024-01-01,waste,recyclable,98.5
2024-01-01,materials,raw_materials,178.9
2024-01-01,materials,packaging,87.6
2024-01-01,materials,supplies,45.3
2024-02-01,energy,electricity,238.4
2024-02-01,energy,gas,175.6
2024-02-01,energy,renewable,85.2
2024-02-01,transportation,fleet,148.9
2024-02-01,transportation,business_travel,76.5
2024-02-01,transportation,logistics,228.7
2024-02-01,waste,general,64.5
2024-02-01,waste,hazardous,21.8
2024-02-01,waste,recyclable,102.3
2024-02-01,materials,raw_materials,172.4
2024-02-01,materials,packaging,84.9
2024-02-01,materials,supplies,43.7
2024-03-01,energy,electricity,252.6
2024-03-01,energy,gas,168.9
2024-03-01,energy,renewable,92.8
2024-03-01,transportation,fleet,162.3
2024-03-01,transportation,business_travel,94.7
2024-03-01,transportation,logistics,241.5
2024-03-01,waste,general,69.8
2024-03-01,waste,hazardous,24.6
2024-03-01,waste,recyclable,106.7
2024-03-01,materials,raw_materials,184.5
2024-03-01,materials,packaging,89.2
2024-03-01,materials,supplies,47.8
2024-04-01,energy,electricity,258.9
2024-04-01,energy,gas,171.2
2024-04-01,energy,renewable,98.4
2024-04-01,transportation,fleet,159.8
2024-04-01,transportation,business_travel,87.3
2024-04-01,transportation,logistics,237.9
2024-04-01,waste,general,71.2
2024-04-01,waste,hazardous,25.8
2024-04-01,waste,recyclable,109.4
2024-04-01,materials,raw_materials,189.7
2024-04-01,materials,packaging,91.5
2024-04-01,materials,supplies,49.2
2024-05-01,energy,electricity,267.3
2024-05-01,energy,gas,165.8
2024-05-01,energy,renewable,105.6
2024-05-01,transportation,fleet,164.5
2024-05-01,transportation,business_travel,92.8
2024-05-01,transportation,logistics,245.6
2024-05-01,waste,general,73.5
2024-05-01,waste,hazardous,26.9
2024-05-01,waste,recyclable,112.8
2024-05-01,materials,raw_materials,193.2
2024-05-01,materials,packaging,93.7
2024-05-01,materials,supplies,51.4
2024-06-01,energy,electricity,278.5
2024-06-01,energy,gas,159.4
2024-06-01,energy,renewable,112.9
2024-06-01,transportation,fleet,168.7
2024-06-01,transportation,business_travel,97.5
2024-06-01,transportation,logistics,251.8
2024-06-01,waste,general,75.9
2024-06-01,waste,hazardous,28.2
2024-06-01,waste,recyclable,115.6
2024-06-01,materials,raw_materials,196.8
2024-06-01,materials,packaging,95.9
2024-06-01,materials,supplies,53.7 
